name,slug
Abarth,abarth
Alfa Romeo,alfa-romeo
Aro,aro
Asia,asia
Asia Motors,asia-motors
Aston Martin,aston-martin
Audi,audi
Austin,austin
Auverland,auverland
Bentley,bentley
Bertone,bertone
Bmw,bmw
Cadillac,cadillac
Chevrolet,chevrolet
Chrysler,chrysler
Citroen,citroen
Corvette,corvette
Dacia,dacia
Daewoo,daewoo
Daf,daf
Daihatsu,daihatsu
Daimler,daimler
Dodge,dodge
Ferrari,ferrari
Fiat,fiat
Ford,ford
Galloper,galloper
Gmc,gmc
Honda,honda
Hummer,hummer
Hyundai,hyundai
Infiniti,infiniti
Innocenti,innocenti
Isuzu,isuzu
Iveco,iveco
Iveco-pegaso,iveco-pegaso
Jaguar,jaguar
Jeep,jeep
Kia,kia
Lada,lada
Lamborghini,lamborghini
Lancia,lancia
Land-rover,land-rover
Ldv,ldv
Lexus,lexus
Lotus,lotus
Mahindra,mahindra
Maserati,maserati
Maybach,maybach
Mazda,mazda
Mercedes-benz,mercedes-benz
Mg,mg
Mini,mini
Mitsubishi,mitsubishi
Morgan,morgan
Nissan,nissan
Opel,opel
Peugeot,peugeot
Pontiac,pontiac
Porsche,porsche
Renault,renault
Rolls-royce,rolls-royce
Rover,rover
Saab,saab
Santana,santana
Seat,seat
Skoda,skoda
Smart,smart
Ssangyong,ssangyong
Subaru,subaru
Suzuki,suzuki
Talbot,talbot
Tata,tata
Toyota,toyota
Umm,umm
Vaz,vaz
Volkswagen,volkswagen
Volvo,volvo
Wartburg,wartburg